course_id,title,price,link,total_enrolled_students,category,batch_no,launch_date,platform,subscription_type
1,"Full Stack Web Development with PHP, Laravel & Vue JS",8000,https://ostad.app/course/laravel,1970,Web Development,4,,Ostad,Paid
2,Coding Interview Preparation (Local+Remote Job),8000,https://ostad.app/course/coding-interview,431,Job & Career Preparation,3,,Ostad,Paid
3,Database for Software Developers,7000,https://ostad.app/course/database-for-developer,272,Programming & Software Development,2,,Ostad,Paid
4,Full Stack Web Development with JavaScript (MERN),8000,https://ostad.app/course/mern,3986,Web Development,7,,Ostad,Paid
5,"Full Stack Web Development with Python, Django & React",8000,https://ostad.app/course/web-development-with-python-django,522,Web Development,2,,Ostad,Paid
6,ASP.NET Core Career Track,7000,https://ostad.app/course/asp-dotnet-core,132,Job & Career Preparation,2,,Ostad,Paid
7,Shopify Store Design and Dropshipping,5000,https://ostad.app/course/shopify-store,222,Product Management & Design,2,,Ostad,Paid
8,Full Stack Digital Marketing 2024 (12 Courses in 1),12000,https://ostad.app/course/digital-marketing,1299,Digital Marketing & SEO,5,,Ostad,Paid
9,SQA: Manual & Automated Testing,5000,https://ostad.app/course/stqa,341,Software Quality Assurance,7,,Ostad,Paid
10,Mastering Webflow,7000,https://ostad.app/course/webflow,189,Product Management & Design,3,,Ostad,Paid
11,Product Management,5000,https://ostad.app/course/product-management,149,Product Management & Design,2,,Ostad,Paid
12,WordPress Security & Speed Optimization,5000,https://ostad.app/course/wordpress-security,3,Web Development,1,,Ostad,Paid
13,UI-UX গাইডেড প্রোগ্রাম,7000,https://ostad.app/course/ui-ux-program,1894,Product Management & Design,36,,Ostad,Paid
14,Data Science & Machine Learning with Python for Beginners,6000,https://ostad.app/course/data-science-with-python,1582,Data Science & Analytics,35,,Ostad,Paid
15,Mastering Social Media Banner Design: The Next Level,4000,https://ostad.app/course/social-media-banner-design,109,Digital Marketing & SEO,2,,Ostad,Paid
16,App Development with Flutter,8000,https://ostad.app/course/flutter,1397,Programming & Software Development,7,,Ostad,Paid
17,UI-UX Design Job Interview Preparation,3000,https://ostad.app/course/ui-ux-interview-preparation,4,Job & Career Preparation,1,,Ostad,Paid
18,WordPress Theme Development,8000,https://ostad.app/course/wordpress-theme-development,149,Web Development,2,,Ostad,Paid
19,Web Development with Next JS & Prisma,5000,https://ostad.app/course/nextjs-prisma,500,Web Development,3,,Ostad,Paid
20,Art of Tailwind CSS,3000,https://ostad.app/course/tailwind-css,23,Web Development,1,,Ostad,Paid
21,ফ্রিল্যান্সিং উইথ গ্রাফিক ডিজাইন,4500,https://ostad.app/course/graphics-design,440,Product Management & Design,9,,Ostad,Paid
22,Design Systems Expedition,8500,https://ostad.app/course/design-systems,72,Product Management & Design,1,,Ostad,Paid
23,Mastering Docker for Software Developers,5500,https://ostad.app/course/docker,95,Blockchain & Cloud Computing,1,,Ostad,Paid
24,UX Leadership: Strategy & Tactics,8500,https://ostad.app/course/ux-leadership,136,Product Management & Design,2,,Ostad,Paid
25,Shopify Theme Development,8000,https://ostad.app/course/shopify-theme-development,94,Web Development,1,,Ostad,Paid
26,Mastering Shopify: App Development,10000,https://ostad.app/course/shopify-app-development,175,Programming & Software Development,1,,Ostad,Paid
27,Cyber Security & Ethical Hacking,7000,https://ostad.app/course/cyber-security,39,Cybersecurity,1,,Ostad,Paid
28,IELTS পুর্নাঙ্গ প্রস্তুতি প্রোগ্রাম,6000,https://ostad.app/course/ielts-full-course,1781,English Language Learning,31,,Ostad,Paid
29,Mastering Vue.js,6000,https://ostad.app/course/mastering-vue-js,309,Web Development,2,,Ostad,Paid
30,IELTS Writing প্রিপারেশন,1500,https://ostad.app/course/ielts-writing,1085,English Language Learning,80,,Ostad,Paid
31,Spoken English গাইডেড প্রোগ্রাম,3000,https://ostad.app/course/spoken-english-100-days,345,English Language Learning,35,,Ostad,Paid
32,Power BI for Professionals,3500,https://ostad.app/course/power-bi-for-professionals,547,Business Intelligence & Microsoft Tools,31,,Ostad,Paid
33,IELTS Reading Preparation,1500,https://ostad.app/course/ielts-reading,723,English Language Learning,61,,Ostad,Paid
34,IELTS Speaking Preparation,1500,https://ostad.app/course/ielts-speaking,468,English Language Learning,47,,Ostad,Paid
35,ছেলেদের জন্য শুদ্ধভাবে কুরআন শিক্ষা,2500,https://ostad.app/course/al-quran-online-batch,1153,Public Speaking & Personal Development,56,,Ostad,Paid
36,Business Intelligence with Excel,3000,https://ostad.app/course/business-intelligence-with-excel,66,Business Intelligence & Microsoft Tools,6,,Ostad,Paid
37,কপিরাইটিং এর ক-খ-গ-ঘ,3000,https://ostad.app/course/copy-writing,147,Digital Marketing & SEO,5,,Ostad,Paid
38,IELTS Crash Course,3000,https://ostad.app/course/ielts-crash-course,142,English Language Learning,3,,Ostad,Paid
39,প্রোডাক্ট ডিজাইন উইথ সলিডওয়ার্ক্স,3000,https://ostad.app/course/solidworks,208,Product Management & Design,5,,Ostad,Paid
40,অটোক্যাড 2D লাইভ বুটক্যাম্প,2000,https://ostad.app/course/autocad,22,Product Management & Design,1,,Ostad,Paid
41,Mobile App Design,12000,https://ostad.app/course/mobile-app-design,60,Product Management & Design,1,,Ostad,Paid
42,Video Editing & Motion Graphic Design,5000,https://ostad.app/course/video-editing-pr-ar,29,Product Management & Design,1,,Ostad,Paid
