instructor_id,name,img,bio
1,Hasin Hayder,https://cdn.ostad.app/user/photo/2024-04-23T06-16-40.285Z-WhatsApp Image 2024-04-22 at 18.02.30_9bd7a3a8.jpg,"Founder, Learn with Hasin Hayder"
2,Rabbil Hasan,https://cdn.ostad.app/user/photo/2024-04-28T07-42-10.338Z-Untitled design (57).jpg,Founder of Learn With Rabbil Hasan
3,Tamim Shahriar Subeen,https://cdn.ostad.app/user/photo/2023-06-12T06-59-31.702Z-subeen-440x400.jpg,Coach at Tamim's ThinkLab | Ex-Engineering Manager at Grab
4,Partharaj Deb,https://cdn.ostad.app/user/photo/2023-11-07T07-07-08.446Z-Partha.jpg,Technical Screener at Toptal | Sr. Software Engineer
5,Mohammad Emran Hasan,https://cdn.ostad.app/user/photo/2023-08-30T00-28-27.038Z-phpfour_400x400.jpeg,"Co-Founder & CEO, FIGLAB"
6,Anis Uddin Ahmad,https://cdn.ostad.app/user/photo/2023-08-18T18-37-54.171Z-WhatsApp Image 2023-08-18 at 6.07.28 PM.jpeg,"Co-Founder & CTO, FIGLAB"
7,Amit Biswas,https://cdn.ostad.app/user/photo/2023-11-19T06-50-28.525Z-Untitled design.png,MERN | NEXTJS | Prisma | MySql | Javascript
8,Nayeem Hasan,https://cdn.ostad.app/user/photo/2024-02-17T07-11-53.951Z-Screenshot_2.jpg,"Site Reliability Engineer, IQVIA"
9,Md. Nafiur Rahman Protik,https://cdn.ostad.app/user/photo/2024-01-23T11-28-59.391Z-Untitled design (14).jpg,Assistant Manager (Software Solution) at IDLC Finance PLC
10,Nafiul Hasan,https://cdn.ostad.app/user/photo/2023-09-13T07-58-07.594Z-1638477720434.jpg,Shopify Plus Developer | Shopify Expert 
11,Shamim Hussain,https://cdn.ostad.app/user/photo/2023-11-21T11-28-08.890Z-Untitled design.jpg,Founder at Skilluper
12,Russel A Kawser,https://cdn.ostad.app/user/photo/2023-10-25T20-28-06.867Z-52486661_3026490197377139_1448911980424331264_n (1).jpg,"Founder, Learn with Russel | CEO, Team Digital"
13,Shoaib Shanto,https://cdn.ostad.app/user/photo/2024-04-09T17-12-52.716Z-shoaib-santo-seo-expert.png,Professional SEO Expert
14,Shaib Montachir,https://cdn.ostad.app/user/photo/2023-12-09T10-59-44.123Z-Shaib-Montachir.png,"Affiliate Marketer at Amazon, SEO specialist at Media Cure"
15,Rabby Hasan,https://cdn.ostad.app/user/photo/2023-08-07T05-07-54.098Z-Sourov- Free Crash Course.jpg,"Founder, Director, CEO at Engaging Dot"
16,Md Rashed Karim,https://cdn.ostad.app/user/photo/635e79549deab7938ca8ff1b,ISTQB Authorized Trainer
17,Habibur Rahman,https://cdn.ostad.app/user/photo/2024-01-28T06-59-44.913Z-Untitled design (15).jpg,Founder & CEO of CrowdyFlow | Webflow Template Designer and Only Webflow Expert (Webflow Professional Partner) From Bangladesh
18,Seeam Shahid Noor,https://cdn.ostad.app/user/photo/2023-12-28T09-24-53.501Z-Untitled design (12).jpg,AI Product Manager @ IBM | Harvard Applied Math
19,Mizanur Rahaman Mizan,https://cdn.ostad.app/user/photo/2024-04-21T06-49-31.201Z-30167847_10215283796708738_3876313502102233611_o.jpg,Founder at WP Boffins
20,Sayttom Das,https://cdn.ostad.app/user/photo/6215f7b620d0fe5ad6179d7c,"UI/UX Lead at Sayburgh Solutions, Researcher, Designer, Instructor"
21,Sohanul Habib,https://cdn.ostad.app/user/photo/2023-12-18T05-46-06.384Z-Untitled design (5).jpg,"Senior Product Designer, ReformedTech"
22,Munim Bin Salim,https://cdn.ostad.app/user/photo/62661661953878b951541078,Graphics Designer & Top Rated Freelancer at Upwork
